labels	X	Y	Z	PointType
D300	205.588175	112.496461	83.692100	PointType.DETECTOR
D301	210.456751	118.439695	92.624430	PointType.DETECTOR
D302	212.682262	141.712225	94.051356	PointType.DETECTOR
D303	208.836881	136.987647	83.828993	PointType.DETECTOR
D304	207.987428	124.498198	82.277748	PointType.DETECTOR
D305	210.760865	149.407418	84.315238	PointType.DETECTOR
D306	208.729799	159.318783	175.835559	PointType.DETECTOR
D307	203.898491	170.858875	187.052057	PointType.DETECTOR
D308	108.770771	49.804227	119.700476	PointType.DETECTOR
D309	109.134162	53.838922	142.559677	PointType.DETECTOR
D310	109.475643	50.804163	96.530269	PointType.DETECTOR
D311	108.326092	59.835400	165.311253	PointType.DETECTOR
D312	104.467545	70.091437	187.363676	PointType.DETECTOR
D313	106.449953	58.480849	74.004994	PointType.DETECTOR
D314	105.173463	76.183087	57.666478	PointType.DETECTOR
D315	96.893329	87.962946	201.835691	PointType.DETECTOR
